#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
0.615,1,19.614425
0.05,1,19.626014
0.31,1,19.635653
0.45,1,19.646654
-0.065,1,19.656654
-0.235,1,19.666651
-0.035,1,19.67917
0.285,1,20.088766
0.145,1,20.100792
0.2,1,20.112765
-0.095,1,20.123767
-0.165,1,20.134766
0.305,1,20.145767
0.155,1,20.156767
0.595,1,20.167766
0.585,1,20.178766
0.245,1,20.189768
0.19,1,20.200767
0.215,1,20.211767
0.04,1,20.222765
0.285,1,20.233767
-0.02,1,20.246767
0.145,1,20.258767
0.53,1,20.269767
0.29,1,20.280767
0.155,1,20.291766
0.53,1,20.304765
-0.035,1,20.31777
0.105,1,20.330765
0.13,1,20.342767
-0.015,1,20.354783
-0.045,1,20.365767
0.785,1,20.376765
0.405,1,20.387769
0.33,1,20.399767
0.065,1,20.410796
0.15,1,20.421786
-0.035,1,20.432767
-0.155,1,20.445765
0.08,1,20.458769
0.355,1,20.46978
-0.03,1,20.482768
0.2,1,20.495768
0.145,1,20.507765
-0.15,1,20.520773
0.14,1,20.531786
0.655,1,20.544765
0.35,1,20.555766
0.165,1,20.565766
0.135,1,20.576766
0.235,1,20.589766
0.595,1,20.598766
0.055,1,20.609767
0.51,1,20.619768
0.12,1,20.629766
0.08,1,20.640768
-0.065,1,20.651767
0.135,1,20.66177
0.315,1,20.671768
-0.09,1,20.681771
0.535,1,20.691771
0.14,1,20.702765
0.045,1,20.713767
0.165,1,20.722767
0.675,1,20.732766
0.335,1,20.743766
0.28,1,20.755769
0.5,1,20.765772
0.48,1,20.775768
-0.125,1,20.78677
0.495,1,20.798766
0.535,1,20.810764
-0.095,1,20.82177
0.2,1,20.831769
-0.125,1,20.842768
-0.12,1,20.851768
0.315,1,20.861774
-0.28,1,20.872767
0.225,1,20.883766
-0.05,1,20.893769
0.235,1,20.903767
0.295,1,20.913767
0.355,1,20.924769
0.525,1,20.938767
0.25,1,20.947768
0.295,1,20.958765
-0.14,1,20.968798
0.03,1,20.978851
0.305,1,20.988775
0.015,1,20.998839
-0.225,1,21.009842
0.355,1,21.020842
0.195,1,21.030842
0.31,1,21.041841
0.505,1,21.052164
0.015,1,21.061842
0.55,1,21.073841
-0.32,1,21.084841
-0.2,1,21.094839
0.53,1,21.105841
0.005,1,21.114846
-0.38,1,21.126842
0.45,1,21.136842
0.525,1,21.146845
0.18,1,21.157841
0.77,1,21.170842
0.49,1,21.181844
0.43,1,21.19184
0.455,1,21.202843
0.37,1,21.213843
0.195,1,21.223842
-0.1,1,21.233845
-0.03,1,21.243845
0.64,1,21.254845
0.015,1,21.264845
0.1,1,21.274839
0.45,1,21.284841
0.56,1,21.295845
0.085,1,21.306839
0.305,1,21.318843
0.25,1,21.329844
-0.06,1,21.341841
-0.06,1,21.353842
0.26,1,21.365842
-0.03,1,21.376841
-0.09,1,21.387842
-0.225,1,21.399842
-0.695,1,21.410842
-0.055,1,21.42384
0.25,1,21.433856
0.015,1,21.44484
0.03,1,21.455842
0.13,1,21.466842
0.66,1,21.477842
0.625,1,21.488841
0.085,1,21.902841
0.315,1,21.913842
0.075,1,21.925861
0.565,1,21.938841
0.19,1,21.949844
-0.265,1,21.96284
-0.2,1,21.974846
0.255,1,21.986842
0.095,1,21.99884
0.24,1,22.01285
0.06,1,22.023853
0.14,1,22.036842
0.275,1,22.048842
0.11,1,22.06084
0.385,1,22.07384
0.125,1,22.08584
0.155,1,22.095842
0.17,1,22.109842
0.17,1,22.122844
0.12,1,22.133843
0.79,1,22.146844
0.665,1,22.157854
0.215,1,22.17084
0.34,1,22.181842
0.48,1,22.19384
0.25,1,22.20686
0.045,1,22.219841
0.36,1,22.232841
-0.21,1,22.242842
0.22,1,22.255842
0.26,1,22.266844
0.61,1,22.279845
0.19,1,22.291842
0.07,1,22.304842
0.41,1,22.316842
0.335,1,22.328294
0.225,1,22.339548
0.01,1,22.351326
